learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.026485546,1.3139068617175022E-10,1000.0,1.0,1.0,0.998,0.0,0.0,1.7976931348623157E308,?,0.998,-Infinity,1000.0,19176.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.048000045,2.3812077911570666E-10,2000.0,1.0,1.0,0.999,0.0,0.0,1.7976931348623157E308,?,0.999,-Infinity,2000.0,19176.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.069434094,3.444517720863223E-10,3000.0,1.0,1.0,0.9993333333333333,0.0,0.0,1.7976931348623157E308,?,0.9993333333333333,-Infinity,3000.0,19176.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.090844395,4.5066495491191744E-10,4000.0,1.0,1.0,0.9995,0.0,0.0,1.7976931348623157E308,?,0.9995,-Infinity,4000.0,19176.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.11309242,5.610339565823475E-10,5000.0,1.0,1.0,0.9996,0.0,0.0,1.7976931348623157E308,?,0.9996,-Infinity,5000.0,19176.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.126042994,6.252797457451621E-10,6000.0,1.0,1.0,0.9996666666666667,0.0,0.0,1.7976931348623157E308,?,0.9996666666666667,-Infinity,6000.0,19176.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.137304319,6.811454325976471E-10,7000.0,1.0,1.0,0.9997142857142857,0.0,0.0,1.7976931348623157E308,?,0.9997142857142857,-Infinity,7000.0,19176.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.148570378,7.370346040899555E-10,8000.0,1.0,1.0,0.99975,0.0,0.0,1.7976931348623157E308,?,0.99975,-Infinity,8000.0,19176.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.159940711,7.934410627248387E-10,9000.0,1.0,1.0,0.9997777777777778,0.0,0.0,1.7976931348623157E308,?,0.9997777777777778,-Infinity,9000.0,19176.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.172485648,8.556745496392251E-10,10000.0,1.0,1.0,0.9998,0.0,0.0,1.7976931348623157E308,?,0.9998,-Infinity,10000.0,19176.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
