learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
1000.0,0.584462847,3.9023878228281933E-7,1000.0,1.0,1.0,0.999,0.0,0.0,1.7976931348623157E308,?,0.999,-Infinity,1000.0,2580928.0
2000.0,2.016844183,1.3466224963108863E-6,2000.0,1.0,1.0,0.9995,0.0,0.0,1.7976931348623157E308,?,0.9995,-Infinity,2000.0,2580928.0
3000.0,3.560095155,2.3770325269249578E-6,3000.0,1.0,1.0,0.9996666666666667,0.0,0.0,1.7976931348623157E308,?,0.9996666666666667,-Infinity,3000.0,2580928.0
4000.0,5.007586797,3.3435052097277343E-6,4000.0,1.0,1.0,0.99975,0.0,0.0,1.7976931348623157E308,?,0.99975,-Infinity,4000.0,2580928.0
5000.0,6.537235449,4.364833135601928E-6,5000.0,1.0,1.0,0.9998,0.0,0.0,1.7976931348623157E308,?,0.9998,-Infinity,5000.0,2580928.0
6000.0,8.00642907,5.34579596761018E-6,6000.0,1.0,1.0,0.9998333333333334,0.0,0.0,1.7976931348623157E308,?,0.9998333333333334,-Infinity,6000.0,2580928.0
7000.0,9.643655157,6.438952047234426E-6,7000.0,1.0,1.0,0.9998571428571429,0.0,0.0,1.7976931348623157E308,?,0.9998571428571429,-Infinity,7000.0,2580928.0
8000.0,11.742178319,7.840110611092928E-6,8000.0,1.0,1.0,0.999875,0.0,0.0,1.7976931348623157E308,?,0.999875,-Infinity,8000.0,2580928.0
9000.0,13.434727005,8.970204921739547E-6,9000.0,1.0,1.0,0.9998888888888889,0.0,0.0,1.7976931348623157E308,?,0.9998888888888889,-Infinity,9000.0,2580928.0
10000.0,15.224050545,1.0164914633304129E-5,10000.0,1.0,1.0,0.9999,0.0,0.0,1.7976931348623157E308,?,0.9999,-Infinity,10000.0,2580928.0
11000.0,17.040742143,1.1377897666572878E-5,11000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,11000.0,2580928.0
12000.0,18.867350656,1.2597502104184891E-5,12000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,12000.0,2580928.0
13000.0,20.82664193,1.3905697218429875E-5,13000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,13000.0,2580928.0
14000.0,22.709512926,1.5162867436256705E-5,14000.0,0.5,-0.5,0.9999,0.0,1.0,9999.0,0.0,1.0,-0.39999999999906743,14000.0,2580928.0
15000.0,24.774474089,1.6541617058831833E-5,15000.0,0.8565924718731683,0.028312676016068017,0.9993,0.0,1.0,1427.5714285714287,0.0,1.0,-0.5000000000002379,15000.0,2580928.0
16000.0,27.288352601,1.8220103372145477E-5,16000.0,0.9278275299705302,0.28516494520900637,0.999,0.4440985502089678,1.0,713.2857142857143,0.5345224838248488,1.0,-0.14285714285719722,16000.0,2580928.0
