learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
1000.0,0.139250422,5.8765530482803784E-9,1000.0,1.0,1.0,0.998,0.0,0.0,1.7976931348623157E308,?,0.998,-Infinity,1000.0,163128.0
2000.0,0.193215812,8.200872868075968E-9,2000.0,1.0,1.0,0.999,0.0,0.0,1.7976931348623157E308,?,0.999,-Infinity,2000.0,166488.0
3000.0,0.240582784,1.0282168100327254E-8,3000.0,1.0,1.0,0.9993333333333333,0.0,0.0,1.7976931348623157E308,?,0.9993333333333333,-Infinity,3000.0,169848.0
4000.0,0.290144341,1.2459892956521363E-8,4000.0,1.0,1.0,0.9995,0.0,0.0,1.7976931348623157E308,?,0.9995,-Infinity,4000.0,169848.0
5000.0,0.339233638,1.4616866803206504E-8,5000.0,1.0,1.0,0.9996,0.0,0.0,1.7976931348623157E308,?,0.9996,-Infinity,5000.0,169848.0
6000.0,0.38731792,1.6771477004885674E-8,6000.0,1.0,1.0,0.9996666666666667,0.0,0.0,1.7976931348623157E308,?,0.9996666666666667,-Infinity,6000.0,173208.0
7000.0,0.434108102,1.8868099836347004E-8,7000.0,1.0,1.0,0.9997142857142857,0.0,0.0,1.7976931348623157E308,?,0.9997142857142857,-Infinity,7000.0,173208.0
8000.0,0.484109522,2.110861513884117E-8,8000.0,1.0,1.0,0.99975,0.0,0.0,1.7976931348623157E308,?,0.99975,-Infinity,8000.0,173208.0
9000.0,0.532387603,2.3271909286398438E-8,9000.0,1.0,1.0,0.9997777777777778,0.0,0.0,1.7976931348623157E308,?,0.9997777777777778,-Infinity,9000.0,173208.0
10000.0,0.58351327,2.5562801010347902E-8,10000.0,1.0,1.0,0.9998,0.0,0.0,1.7976931348623157E308,?,0.9998,-Infinity,10000.0,173208.0
11000.0,0.634181629,2.78772438856028E-8,11000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,11000.0,176568.0
12000.0,0.6810673,3.001890012510121E-8,12000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,12000.0,176568.0
13000.0,0.733776921,3.2426584312797835E-8,13000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,13000.0,176568.0
14000.0,0.785486323,3.4788580229077486E-8,14000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,14000.0,176568.0
15000.0,0.837777575,3.717715404552097E-8,15000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,15000.0,176568.0
16000.0,0.892823524,3.969155764944851E-8,16000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,16000.0,176568.0
17000.0,0.929986849,4.1389113963972775E-8,17000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,17000.0,176568.0
18000.0,0.963941602,4.2940108267180616E-8,18000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,18000.0,176568.0
19000.0,1.014374558,4.5243798341142625E-8,19000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,19000.0,176568.0
20000.0,1.068068396,4.769643985661367E-8,20000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,20000.0,176568.0
21000.0,1.11952288,5.009151756788293E-8,21000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,21000.0,179928.0
22000.0,1.171148702,5.249457063509772E-8,22000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,22000.0,179928.0
23000.0,1.210126103,5.430887129698569E-8,23000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,23000.0,179928.0
