learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.064270513,3.3958632848535977E-10,1000.0,1.0,1.0,0.998,0.0,0.0,1.7976931348623157E308,?,0.998,-Infinity,1000.0,20424.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.101315348,5.369302816254397E-10,2000.0,1.0,1.0,0.999,0.0,0.0,1.7976931348623157E308,?,0.999,-Infinity,2000.0,20592.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.138474958,7.365006807136039E-10,3000.0,1.0,1.0,0.9993333333333333,0.0,0.0,1.7976931348623157E308,?,0.9993333333333333,-Infinity,3000.0,20760.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.16977255,9.045883685536682E-10,4000.0,1.0,1.0,0.9995,0.0,0.0,1.7976931348623157E308,?,0.9995,-Infinity,4000.0,20760.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.191339204,1.0204148195249338E-9,5000.0,1.0,1.0,0.9996,0.0,0.0,1.7976931348623157E308,?,0.9996,-Infinity,5000.0,20760.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.214693027,1.1468544856272637E-9,6000.0,1.0,1.0,0.9996666666666667,0.0,0.0,1.7976931348623157E308,?,0.9996666666666667,-Infinity,6000.0,20928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.238660168,1.276614709701389E-9,7000.0,1.0,1.0,0.9997142857142857,0.0,0.0,1.7976931348623157E308,?,0.9997142857142857,-Infinity,7000.0,20928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.2616794,1.4012428704959649E-9,8000.0,1.0,1.0,0.99975,0.0,0.0,1.7976931348623157E308,?,0.99975,-Infinity,8000.0,20928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.284824543,1.5265527245961128E-9,9000.0,1.0,1.0,0.9997777777777778,0.0,0.0,1.7976931348623157E308,?,0.9997777777777778,-Infinity,9000.0,20928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.310706152,1.6666780479811132E-9,10000.0,1.0,1.0,0.9998,0.0,0.0,1.7976931348623157E308,?,0.9998,-Infinity,10000.0,20928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
