learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),member weight 1,member weight 2,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.068572533,3.4399529864949485E-9,1000.0,1.0,1.0,0.998,0.0,0.0,1.7976931348623157E308,?,0.998,-Infinity,1000.0,193912.0,0.5,0.5,1000.0,0.0,83520.0,88880.49396802428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000.0,0.12953229,6.553647481209288E-9,2000.0,1.0,1.0,0.999,0.0,0.0,1.7976931348623157E308,?,0.999,-Infinity,2000.0,197440.0,0.5,0.5,2000.0,0.0,85284.0,91137.57881357173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3000.0,0.169920906,8.653474459803354E-9,3000.0,1.0,1.0,0.9993333333333333,0.0,0.0,1.7976931348623157E308,?,0.9993333333333333,-Infinity,3000.0,200968.0,0.5,0.5,3000.0,0.0,87048.0,93394.6636591192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4000.0,0.211684972,1.0824811861475725E-8,4000.0,1.0,1.0,0.9995,0.0,0.0,1.7976931348623157E308,?,0.9995,-Infinity,4000.0,200968.0,0.5,0.5,4000.0,0.0,87048.0,93394.6636591192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000.0,0.277360649,1.4239327436904942E-8,5000.0,1.0,1.0,0.9996,0.0,0.0,1.7976931348623157E308,?,0.9996,-Infinity,5000.0,200968.0,0.5,0.5,5000.0,0.0,87048.0,93394.6636591192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6000.0,0.351612635,1.8167499665415124E-8,6000.0,1.0,1.0,0.9996666666666667,0.0,0.0,1.7976931348623157E308,?,0.9996666666666667,-Infinity,6000.0,204496.0,0.5,0.5,6000.0,0.0,88812.0,95651.74850466666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7000.0,0.424640302,2.203090142577059E-8,7000.0,1.0,1.0,0.9997142857142857,0.0,0.0,1.7976931348623157E308,?,0.9997142857142857,-Infinity,7000.0,204496.0,0.5,0.5,7000.0,0.0,88812.0,95651.74850466666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8000.0,0.495859846,2.5798647582324016E-8,8000.0,1.0,1.0,0.99975,0.0,0.0,1.7976931348623157E308,?,0.99975,-Infinity,8000.0,204496.0,0.5,0.5,8000.0,0.0,88812.0,95651.74850466666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9000.0,0.564539434,2.9432021782538957E-8,9000.0,1.0,1.0,0.9997777777777778,0.0,0.0,1.7976931348623157E308,?,0.9997777777777778,-Infinity,9000.0,204496.0,0.5,0.5,9000.0,0.0,88812.0,95651.74850466666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10000.0,0.632408491,3.302251624934789E-8,10000.0,1.0,1.0,0.9998,0.0,0.0,1.7976931348623157E308,?,0.9998,-Infinity,10000.0,204496.0,0.5,0.5,10000.0,0.0,88812.0,95651.74850466666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11000.0,0.706959947,3.7034574242428774E-8,11000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,11000.0,208024.0,0.5,0.5,11000.0,0.0,90576.0,97908.83335021412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12000.0,0.778414403,4.0879964214906924E-8,12000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,12000.0,208024.0,0.5,0.5,12000.0,0.0,90576.0,97908.83335021412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13000.0,0.852653852,4.487523125251341E-8,13000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,13000.0,208024.0,0.5,0.5,13000.0,0.0,90576.0,97908.83335021412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14000.0,0.95290853,5.2374457573781E-8,14000.0,0.4958995899589959,-0.4958995899589959,0.9999,0.0,1.0,9999.0,0.0,1.0,-0.39999999999906743,14000.0,289144.0,0.44751381215469616,0.5524861878453038,14000.0,0.0,131068.0,126470.29045590115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15000.0,1.026049964,5.8863101095037743E-8,15000.0,0.9206230075338451,0.21862564733132706,0.9995,0.44427155114926886,1.0,1427.5714285714287,0.5345224838248488,1.0,-0.07142857142857142,15000.0,342920.0,0.30092770179611456,0.6990722982038854,15000.0,0.0,157888.0,128229.57212749327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16000.0,1.093684492,6.528131760883042E-8,16000.0,0.9515321450030042,0.4935080169090718,0.9995,0.7823702491425593,1.0,713.2857142857143,0.8017837257372732,1.0,0.4285714285714648,16000.0,366816.0,0.13050633460109906,0.8694936653989009,16000.0,0.0,169836.0,143463.48062137625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17000.0,1.154924593,7.118652110067714E-8,17000.0,0.9471188234957512,0.49497085864907286,0.9995,0.7823702491425593,1.0,713.2857142857143,0.8017837257372732,1.0,0.3928571428571814,17000.0,372736.0,0.1190088419153384,0.8809911580846617,17000.0,0.0,172736.0,148073.81683471255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18000.0,1.21304559,7.709492516709699E-8,18000.0,0.9467289920173958,0.49512463958230235,0.9995,0.7823702491425593,1.0,713.2857142857143,0.8017837257372732,1.0,0.3571428571429183,18000.0,392952.0,0.10839798964516677,0.8916020103548332,18000.0,0.0,182836.0,133790.25985474428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19000.0,1.270129669,8.290288124284604E-8,19000.0,0.9462175617292782,0.49541450100170253,0.9995,0.7823702491425593,1.0,713.2857142857143,0.8017837257372732,1.0,0.321428571428636,19000.0,393288.0,0.10839798964516677,0.8916020103548332,19000.0,0.0,183004.0,133552.6719762656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20000.0,1.328844919,8.888190272780964E-8,20000.0,0.9457848130239478,0.49559077764055015,0.9995,0.7823702491425593,1.0,713.2857142857143,0.8017837257372732,1.0,0.285714285714399,20000.0,393624.0,0.10839798964516677,0.8916020103548332,20000.0,0.0,183172.0,133315.08409778692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21000.0,1.388113826,9.497139805535683E-8,21000.0,0.9446153185888816,0.4960003866842723,0.9995,0.7823702491425593,0.9457848130239478,713.2857142857143,0.8017837257372732,1.0,0.2500000000001249,21000.0,397152.0,0.10839798964516677,0.8916020103548332,21000.0,0.0,184936.0,135572.16894333437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22000.0,1.493248419,1.057915721084695E-7,22000.0,0.943839232067752,0.4963052457158568,0.9995,0.7823702491425593,0.9457848130239478,713.2857142857143,0.8017837257372732,1.0,0.21428571428582643,22000.0,397824.0,0.10839798964516677,0.8916020103548332,22000.0,0.0,185272.0,135096.99318637702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23000.0,1.598718161,1.1664623880962739E-7,23000.0,0.9433850247489343,0.496468486076895,0.9995,0.7823702491425593,0.9457848130239478,713.2857142857143,0.8017837257372732,1.0,0.17857142857152628,23000.0,397824.0,0.10839798964516677,0.8916020103548332,23000.0,0.0,185272.0,135096.99318637702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
